POPTOT_FR	FAIBLEREV	MONOPCT	MENAGE1PCT	IMMREC_PCT	TX_CHOM	NOECOLEPCT	SCO_M9PCT	SCO_M13PCT	PARTIELPCT	FAIBREVPCT	INDICE_PAU	Dist_Min	N_1000	Dist_Moy_3
6415.00	1610.00	25.39	30.88	0.70	8.46	33.95	21.04	56.71	40.24	25.10	1.56	1044.71	0.46	1806.76
3115.00	705.00	25.99	38.69	0.80	7.12	32.39	20.55	53.75	41.95	22.63	1.50	409.03	1.36	1032.96
3040.00	735.00	23.49	42.49	0.00	7.27	34.92	23.31	57.37	41.02	24.18	1.52	624.49	1.81	956.73
4465.00	1620.00	27.76	33.50	2.01	10.13	42.96	15.52	55.22	48.70	36.28	1.68	534.65	1.19	1060.50
5660.00	1420.00	19.94	36.15	3.45	10.72	41.48	17.42	51.19	39.56	25.09	1.51	578.14	1.43	986.41
2940.00	590.00	18.13	37.18	0.34	6.69	46.03	14.14	43.25	39.94	20.07	1.12	782.57	1.02	1306.08
2215.00	485.00	16.41	27.72	0.67	4.58	34.00	11.61	34.82	37.30	21.90	1.01	1108.45	0.37	1374.63
1995.00	410.00	12.73	33.70	1.50	6.31	20.00	12.23	43.12	39.83	20.55	1.00	1123.40	0.21	1588.94
5185.00	1340.00	25.76	28.34	1.64	8.15	29.29	15.19	51.39	41.32	25.84	1.45	1470.82	0.02	2056.72
3600.00	1050.00	25.59	31.89	1.24	8.92	37.00	20.82	56.41	45.80	29.17	1.64	2284.80	0.00	2916.49
1385.00	330.00	23.38	35.34	0.70	6.99	38.71	22.41	63.36	51.02	23.83	1.51	1807.41	0.00	2534.24
3865.00	965.00	21.66	40.52	5.81	8.27	44.16	20.47	52.76	37.50	24.97	1.66	851.48	0.84	1231.60
2630.00	835.00	30.00	40.15	3.98	8.30	40.00	23.54	57.34	39.78	31.75	1.92	582.39	1.00	1399.62
4045.00	1470.00	27.85	45.19	9.26	15.75	45.83	18.57	48.86	47.72	36.34	2.16	874.01	0.84	1666.29
4265.00	1170.00	25.11	47.95	1.15	9.09	41.11	21.63	54.69	43.57	27.43	1.63	1280.83	0.22	2113.76
3385.00	425.00	16.30	44.26	2.35	6.99	32.84	12.12	40.78	37.14	12.56	1.02	1051.45	0.48	1736.87
5990.00	1240.00	16.12	39.23	4.08	5.87	31.72	14.10	38.50	42.27	20.70	1.21	682.90	1.08	1346.76
5300.00	1295.00	23.53	37.97	3.19	8.09	31.03	17.06	48.59	45.90	24.43	1.49	471.76	1.34	1029.00
5110.00	1045.00	14.92	32.97	1.57	7.34	38.69	15.02	45.19	42.81	20.45	1.14	747.35	1.05	1104.54
5735.00	2280.00	23.95	47.87	5.69	11.23	40.84	17.48	45.63	48.02	39.76	1.86	622.23	1.00	1685.43
3345.00	1750.00	34.21	46.78	1.49	12.23	49.14	21.58	53.37	50.62	52.32	2.18	938.33	0.62	1987.01
2355.00	885.00	26.85	43.22	5.57	14.94	62.34	14.81	43.12	37.55	37.58	1.89	854.34	0.81	2222.86
2000.00	965.00	35.79	43.72	0.00	13.04	41.94	22.50	54.69	52.24	48.25	2.15	541.97	1.00	1719.69
2110.00	1045.00	36.73	48.70	0.47	15.60	46.91	19.59	52.05	49.08	49.53	2.18	313.56	1.54	1511.24
2305.00	1245.00	33.98	49.38	1.29	11.87	53.62	25.60	51.20	47.47	54.01	2.29	451.63	2.51	1361.21
3170.00	1990.00	39.71	45.05	1.88	16.43	52.63	29.58	60.16	49.63	62.78	2.74	628.28	2.03	1190.25
1645.00	860.00	36.71	42.33	0.57	25.83	62.50	30.00	58.85	47.18	52.28	2.71	516.89	1.80	1001.18
1110.00	555.00	29.63	45.22	3.59	10.77	65.00	23.08	46.70	45.83	50.00	2.16	696.59	1.17	1029.14
2570.00	1440.00	40.65	45.86	1.92	12.21	56.38	24.52	57.14	53.67	56.03	2.45	348.32	2.24	750.21
2720.00	1325.00	42.25	38.55	1.64	12.73	47.73	23.68	56.22	44.84	48.71	2.37	348.16	2.67	966.43
1975.00	1030.00	32.56	51.16	2.53	8.72	46.27	26.25	59.06	47.47	52.15	2.24	322.38	2.43	842.55
1780.00	905.00	32.50	46.74	1.94	19.90	51.79	21.77	52.38	47.22	50.84	2.32	316.81	2.25	641.07
2145.00	790.00	27.27	45.92	0.70	7.60	54.65	21.21	49.04	47.35	36.83	1.72	418.27	3.23	676.18
3595.00	1620.00	32.12	48.21	2.20	9.00	52.14	19.67	48.50	45.50	45.06	1.96	566.13	2.32	909.15
3145.00	1165.00	19.15	49.44	11.58	12.78	42.98	14.74	39.18	46.87	37.04	1.92	640.01	1.47	1192.47
2700.00	965.00	20.66	51.64	6.52	12.35	38.68	9.38	35.63	57.06	35.74	1.59	800.35	1.74	945.70
1390.00	260.00	10.53	44.00	3.48	4.79	34.78	4.92	22.95	48.96	18.71	0.79	349.96	2.52	860.38
1615.00	290.00	21.79	46.29	5.57	7.62	34.48	6.27	13.65	51.34	17.96	1.17	502.79	1.92	1016.64
1610.00	645.00	23.08	52.15	6.34	11.56	37.88	11.07	24.22	59.09	40.06	1.71	703.15	1.00	1184.41
2320.00	650.00	15.85	61.95	5.13	5.34	33.33	9.05	25.95	49.66	28.02	1.19	881.91	0.87	1211.00
3195.00	1060.00	24.81	58.69	5.99	9.89	34.83	5.13	18.87	50.89	33.18	1.45	969.12	0.56	1345.75
2350.00	630.00	19.35	58.78	4.89	8.48	26.98	4.39	18.29	41.34	26.81	1.17	495.48	2.90	1012.68
2740.00	715.00	21.95	51.89	3.62	8.05	48.15	10.27	27.67	45.50	26.09	1.32	330.19	3.63	907.05
955.00	215.00	22.22	33.33	4.64	3.45	30.00	3.21	14.10	52.32	22.51	1.03	350.93	3.13	764.83
3185.00	845.00	15.75	50.93	3.66	7.11	34.94	9.39	22.35	48.25	26.53	1.16	247.88	2.31	881.85
2300.00	775.00	26.04	53.07	6.07	16.67	56.25	5.69	26.24	49.52	33.70	1.64	506.21	2.62	899.83
2005.00	495.00	23.40	47.77	4.20	7.22	36.36	10.98	22.83	48.36	24.69	1.35	316.52	3.04	742.51
1560.00	430.00	25.68	49.15	2.22	5.34	57.14	11.32	32.08	50.70	27.56	1.32	497.68	2.80	799.95
820.00	315.00	15.15	50.00	3.49	17.43	60.00	12.50	39.58	55.21	38.41	1.59	563.29	3.61	803.72
565.00	230.00	19.05	53.62	0.00	5.13	56.25	10.68	34.95	41.56	40.71	1.25	455.01	1.75	826.25
1795.00	515.00	26.03	52.40	3.33	6.14	38.46	11.82	33.55	53.45	28.69	1.42	276.57	2.36	716.66
1995.00	570.00	22.83	51.77	2.00	6.18	25.00	11.92	35.47	52.61	28.57	1.31	462.64	3.17	795.21
2030.00	460.00	27.55	47.53	1.23	3.97	25.00	9.77	20.98	48.54	22.66	1.19	365.58	3.71	884.32
2030.00	580.00	21.59	58.66	5.42	8.11	26.09	11.14	26.74	50.79	28.57	1.43	405.47	3.12	865.64
1925.00	365.00	24.00	42.65	3.12	4.46	28.57	6.40	15.55	43.49	18.96	1.07	309.86	3.56	780.62
1765.00	570.00	11.29	54.38	3.66	12.39	30.65	8.54	23.10	48.94	32.29	1.23	520.87	3.89	762.62
1940.00	750.00	25.71	63.53	10.28	16.94	41.79	6.87	17.03	55.11	38.66	1.90	284.56	2.46	887.21
1545.00	470.00	17.65	56.61	6.43	7.69	35.85	5.38	20.07	46.01	30.42	1.25	380.62	2.92	875.35
1545.00	255.00	13.85	55.56	2.83	4.55	53.13	6.57	21.80	42.41	16.50	0.84	216.34	2.84	925.59
1655.00	365.00	20.78	50.26	1.51	5.26	46.15	6.81	17.56	51.25	22.05	1.01	326.97	2.00	925.60
1565.00	330.00	17.14	50.27	3.19	3.24	39.53	5.49	17.58	51.78	21.09	0.91	561.65	2.46	852.20
1225.00	415.00	17.65	52.78	1.53	5.39	31.25	13.66	30.40	50.83	33.88	1.28	755.54	3.16	878.33
2335.00	710.00	35.78	54.61	3.84	8.11	41.67	8.01	23.54	46.02	30.41	1.59	672.58	2.56	860.53
1925.00	755.00	19.32	44.39	5.19	11.89	35.71	17.30	32.39	51.26	39.22	1.76	269.07	2.87	649.08
1555.00	410.00	24.19	53.30	2.52	8.47	39.62	5.78	19.49	52.99	26.37	1.21	529.59	3.11	748.48
3010.00	740.00	18.80	37.24	4.29	7.40	31.03	15.38	27.50	53.61	24.58	1.39	344.06	2.08	804.47
1640.00	450.00	8.70	57.50	9.97	12.66	30.43	3.82	15.97	51.75	27.44	1.24	571.47	2.13	1010.23
2440.00	1080.00	14.77	45.30	8.20	11.84	41.56	7.03	22.92	57.63	44.26	1.57	361.95	1.06	1157.99
2455.00	985.00	30.43	41.35	4.90	10.00	41.67	13.35	26.95	67.00	40.12	1.83	626.69	1.00	1330.98
2465.00	570.00	21.24	34.45	5.01	5.67	34.15	9.70	25.34	54.61	23.12	1.25	395.74	1.35	1055.29
2235.00	570.00	20.54	33.17	2.18	9.00	44.23	14.14	31.36	48.32	25.50	1.35	534.88	1.35	1020.86
2350.00	705.00	18.58	37.16	3.83	10.57	30.65	24.73	39.52	53.88	30.00	1.75	652.04	1.70	997.41
3950.00	1475.00	25.71	51.85	4.85	8.69	31.03	10.93	25.45	48.40	37.34	1.60	609.68	2.00	937.05
3125.00	1675.00	8.89	67.52	22.07	19.60	7.56	0.71	6.95	69.79	53.60	2.10	486.66	2.40	727.24
3240.00	1485.00	20.19	68.12	16.51	10.16	14.56	3.17	14.46	62.09	45.83	1.87	282.48	2.72	535.58
4410.00	1840.00	13.57	71.75	9.34	13.24	15.98	5.66	22.26	56.47	41.72	1.55	201.17	3.05	422.32
2575.00	1170.00	14.94	56.82	8.67	8.90	27.87	9.54	25.81	51.52	45.44	1.61	445.82	2.86	646.84
835.00	235.00	28.57	52.94	4.76	7.02	45.45	2.68	15.44	51.30	28.14	1.29	594.22	1.47	918.96
1605.00	485.00	11.94	47.43	5.42	7.46	39.62	10.00	19.66	59.47	30.22	1.22	754.66	1.40	1131.18
2875.00	935.00	16.15	45.90	5.01	9.64	39.80	17.40	28.40	56.76	32.52	1.56	538.37	2.43	905.43
1080.00	430.00	22.92	52.85	6.11	14.07	35.56	12.63	28.28	58.74	39.81	1.79	338.64	3.08	654.98
1955.00	820.00	18.92	43.41	4.08	5.24	27.69	14.79	23.01	59.26	41.94	1.53	379.79	2.73	733.71
3010.00	1115.00	18.25	46.01	4.98	8.89	32.41	9.49	20.16	57.63	37.04	1.43	374.68	2.92	787.59
1460.00	590.00	26.23	56.57	4.79	10.47	51.67	17.86	39.29	55.68	40.41	1.87	591.70	3.18	685.02
1890.00	935.00	28.57	43.16	3.17	10.20	53.57	21.38	51.64	51.89	49.47	2.06	334.31	2.80	601.79
2515.00	1355.00	31.30	42.50	4.56	12.68	48.68	24.24	54.04	46.90	53.88	2.35	230.88	2.19	624.17
2070.00	810.00	32.29	46.09	4.31	9.23	48.78	8.78	29.75	51.16	39.13	1.69	698.10	3.01	820.94
1870.00	935.00	29.33	54.17	2.64	14.91	39.06	13.75	40.31	49.32	50.00	1.95	603.32	1.65	890.23
2795.00	1380.00	27.19	56.68	4.04	11.51	41.86	26.45	61.92	46.77	49.37	2.23	351.57	1.89	833.72
1845.00	1220.00	51.28	47.34	0.81	10.32	51.52	27.94	54.78	53.33	66.12	2.79	606.64	1.73	951.65
1165.00	610.00	22.50	55.07	1.67	8.55	50.91	18.39	37.67	57.82	52.36	1.80	718.46	1.60	1085.65
1595.00	735.00	28.89	53.37	3.13	16.74	65.67	9.62	38.14	49.75	46.08	1.84	182.54	1.00	1336.98
850.00	255.00	0.00	56.60	3.43	8.13	14.29	12.12	25.45	44.72	30.00	0.98	510.83	1.00	1541.34
735.00	315.00	11.76	62.11	1.69	14.96	17.39	11.83	30.18	50.81	42.86	1.43	849.34	0.91	1484.03
2060.00	1145.00	24.29	50.85	5.05	14.73	31.82	8.43	29.78	51.74	55.58	1.87	930.62	0.65	1516.23
1515.00	645.00	20.37	57.07	4.93	15.10	34.88	14.13	35.51	44.38	42.57	1.79	537.33	1.00	1441.89
1880.00	915.00	31.34	54.71	5.01	13.22	40.63	8.79	28.18	46.52	48.67	1.90	715.34	1.00	1295.49
775.00	330.00	34.62	45.78	3.25	28.70	61.76	11.90	38.89	52.75	42.58	2.23	576.59	1.78	1149.98
2115.00	1030.00	23.17	45.99	2.58	10.63	59.09	15.10	33.07	58.64	48.70	1.76	547.26	1.73	1001.58
1310.00	585.00	27.27	55.00	4.94	9.32	42.11	11.16	28.33	53.61	44.66	1.75	908.11	1.23	1244.29
1225.00	625.00	32.61	56.16	11.43	7.69	34.09	14.08	30.52	60.51	51.02	2.22	1231.48	0.00	1465.16
1300.00	580.00	16.28	57.93	5.95	7.69	19.61	7.53	23.01	62.43	44.62	1.44	1254.99	0.00	1362.24
1905.00	1160.00	13.56	58.52	4.50	13.33	27.54	19.01	37.47	48.54	60.89	1.95	1174.93	0.06	1463.17
745.00	410.00	13.04	68.57	10.06	12.79	48.28	19.87	42.31	59.74	55.03	2.10	1079.03	0.09	1370.19
405.00	330.00	41.18	62.00	3.66	13.04	11.76	34.33	59.70	38.46	81.48	3.12	445.13	1.05	1017.24
810.00	395.00	8.00	69.37	8.43	17.78	10.00	22.36	39.75	52.27	48.77	2.04	742.20	1.00	1212.57
1230.00	450.00	4.65	52.82	4.28	6.90	26.92	4.22	15.19	53.85	36.59	0.94	856.57	2.00	919.79
1725.00	1285.00	42.11	51.61	5.80	47.44	12.20	35.68	70.48	67.65	74.49	3.90	887.92	2.00	973.19
2480.00	360.00	6.25	53.67	3.74	5.59	41.18	1.89	12.16	38.01	14.52	0.60	945.05	0.46	1530.87
420.00	10.00	0.00	31.11	2.38	3.23	66.67	0.00	12.66	42.42	2.38	0.17	3108.73	0.00	3515.02
420.00	130.00	36.84	53.85	3.45	10.34	15.38	4.11	15.07	45.90	30.95	1.54	444.87	3.99	610.56
245.00	80.00	27.27	45.83	5.17	8.82	0.00	0.00	6.00	54.05	32.65	1.30	826.49	0.80	1161.19
280.00	105.00	0.00	62.16	8.33	5.71	22.22	3.45	20.69	42.50	37.50	0.98	837.28	0.96	1461.07
1655.00	215.00	8.79	38.64	3.00	6.20	10.71	3.31	15.56	33.33	12.99	0.65	1523.76	0.00	1760.29
485.00	110.00	16.67	56.25	2.83	2.41	45.00	3.96	9.90	50.00	22.68	0.85	1356.74	0.11	1823.90
3370.00	660.00	14.12	44.07	5.76	4.98	14.00	1.65	12.85	48.83	19.58	0.87	1202.29	0.69	1620.29
3865.00	895.00	11.58	52.79	9.11	6.97	20.16	1.68	13.60	46.64	23.16	1.04	1036.49	0.56	1435.94
3865.00	1195.00	7.10	58.11	12.13	10.96	13.69	1.57	14.10	46.40	30.92	1.24	1165.84	0.10	1458.48
6095.00	3225.00	14.14	65.24	21.90	14.94	19.48	2.40	16.36	60.68	52.91	2.13	361.74	2.00	1038.97
4075.00	860.00	20.99	25.87	0.37	3.98	35.29	15.58	52.11	42.16	21.10	1.17	734.16	0.97	1678.84
1845.00	185.00	15.13	22.98	2.72	3.25	20.59	6.64	46.15	30.65	10.03	0.75	3013.79	0.00	3645.91
4125.00	365.00	14.86	16.72	0.24	5.39	25.93	9.36	45.15	39.32	8.85	0.76	2947.70	0.00	4004.80
5535.00	930.00	18.99	17.56	0.54	6.95	29.41	16.39	51.58	40.49	16.80	1.17	1011.89	0.76	1488.85
3830.00	1230.00	26.03	24.83	1.94	7.14	29.73	14.75	51.37	39.80	32.11	1.51	574.08	1.87	1047.52
6720.00	1095.00	21.87	29.12	0.60	5.95	28.11	16.31	51.83	38.25	16.29	1.20	1062.90	0.96	1273.26
6185.00	1340.00	19.34	25.69	0.16	6.39	31.98	17.63	54.49	39.08	21.67	1.24	1024.18	0.93	1432.98
3220.00	605.00	19.59	24.62	0.00	8.21	36.46	21.66	60.53	39.88	18.79	1.35	721.86	0.91	1621.21
7205.00	1900.00	24.04	31.54	0.35	7.60	42.69	20.89	61.31	37.54	26.37	1.51	960.28	0.64	2199.41
1675.00	195.00	8.65	16.54	0.60	9.48	48.78	10.67	47.04	34.33	11.64	0.81	2619.96	0.02	3250.64
3470.00	505.00	11.82	31.92	0.00	6.67	36.67	20.00	58.02	37.24	14.55	1.07	550.99	1.55	1134.90
2620.00	1380.00	15.46	56.65	16.57	12.94	12.88	2.34	15.53	57.95	52.67	1.90	250.19	2.00	905.74
2560.00	1225.00	11.34	53.74	19.93	11.15	23.42	3.51	16.29	43.31	47.85	1.89	378.37	1.69	1005.61
1985.00	1115.00	12.28	72.63	13.72	13.88	30.30	10.22	30.91	50.47	56.17	2.00	346.71	1.85	965.49
1740.00	780.00	29.27	40.88	6.86	7.78	23.68	7.87	30.71	47.83	44.83	1.74	903.66	0.64	1199.39
